iter	Passed	Remaining
1609	6292	2306
1610	6295	2301
1611	6305	2300
1612	6308	2295
1613	6311	2291
1614	6315	2287
1615	6320	2284
1616	6323	2280
1617	6327	2276
1618	6330	2271
1619	6333	2267
1620	6337	2263
1621	6340	2259
1622	6343	2255
1623	6347	2251
1624	6350	2247
1625	6353	2242
1626	6356	2238
1627	6360	2234
1628	6365	2231
1629	6369	2227
1630	6373	2223
1631	6378	2219
1632	6381	2215
1633	6384	2211
1634	6387	2207
1635	6391	2203
1636	6394	2199
1637	6403	2196
1638	6406	2192
1639	6410	2188
1640	6413	2184
1641	6418	2181
1642	6422	2177
1643	6425	2173
1644	6428	2168
1645	6432	2165
1646	6435	2160
1647	6439	2156
1648	6441	2152
1649	6445	2148
1650	6449	2144
1651	6452	2140
1652	6455	2136
1653	6459	2132
1654	6463	2128
1655	6466	2124
1656	6469	2120
1657	6473	2116
1658	6481	2113
1659	6485	2109
1660	6489	2105
1661	6492	2101
1662	6495	2097
1663	6498	2093
1664	6501	2089
1665	6505	2085
1666	6508	2080
1667	6512	2077
1668	6518	2073
1669	6522	2069
1670	6525	2065
1671	6531	2062
1672	6535	2058
1673	6538	2054
1674	6543	2050
1675	6547	2046
1676	6558	2045
1677	6562	2041
1678	6565	2037
1679	6570	2033
1680	6574	2029
1681	6577	2025
1682	6580	2021
1683	6584	2017
1684	6587	2013
1685	6591	2009
1686	6595	2005
1687	6598	2001
1688	6602	1997
